Year,PresidentParty,PresPartySeatChangeHouse,PresPartySeatChangeSenate
1862,R,-3,8
1866,R,-2,0
1870,R,-31,-4
1874,R,-96,-8
1878,R,-9,-6
1882,R,-33,3
1886,D,-15,3
1890,R,-85,0
1894,D,-125,-4
1898,R,-19,9
1902,R,9,2
1906,R,-28,3
1910,R,-57,-8
1914,D,-61,5
1918,D,-22,-6
1922,R,-77,-6
1926,R,-9,-6
1930,R,-52,-8
1934,D,9,10
1938,D,-72,-7
1942,D,-44,-9
1946,D,-55,-12
1950,D,-28,-5
1954,R,-18,-1
1958,R,-48,-12
1962,D,-4,2
1966,D,-48,-4
1970,R,-12,1
1974,R,-48,-4
1978,D,-15,-3
1982,R,-26,1
1986,R,-5,-8
1990,R,-8,-1
1994,D,-54,-8
1998,D,5,0
2002,R,8,1
2006,R,-30,-6
2010,D,-63,-6
2014,D,-13,-9
