Year,IncumbStatus,ExpenseType,Dollars,n
2014,All,Total,555720686,.
2012,All,Total,605809105,.
2010,All,Total,616870302,.
2008,All,Total,428113905,.
2006,All,Total,604684178,.
2004,All,Total,460582366,.
2002,All,Total,370474057,.
2000,All,Total,528726122,.
1998,All,Total,361908050,.
1996,All,Total,347665695,.
1994,All,Total,446449285,.
1992,All,Total,327890624,.
1990,All,Total,314024606,.
1988,All,Total,369603592,.
1986,All,Total,396214455,.
1984,All,Total,323461069,.
1982,All,Total,279756842,.
1980,All,Total,213073091,.
1978,All,Total,234904402,.
1976,All,Total,158553923,.
1974,All,Total,136549747,.
2014,All,Mean,7827052,71
2012,All,Mean,9616018,63
2010,All,Mean,8688314,71
2008,All,Mean,6486574,66
2006,All,Mean,9302833,65
2004,All,Mean,6773270,68
2002,All,Mean,5975388,62
2000,All,Mean,8011002,66
1998,All,Mean,5483456,66
1996,All,Mean,5348695,65
1994,All,Mean,6377846,70
1992,All,Mean,4752037,69
1990,All,Mean,4686934,67
1988,All,Mean,5600055,66
1986,All,Mean,5913648,67
1984,All,Mean,5302639,61
1982,All,Mean,4371192,64
1980,All,Mean,3180194,67
1978,All,Mean,3454478,68
1976,All,Mean,2477612,64
1974,All,Mean,2100767,65
2014,All,MeanDem,13257285,16
2012,All,MeanDem,11621931,15
2010,All,MeanDem,13680487,12
2008,All,MeanDem,6981264,12
2006,All,MeanDem,11226213,14
2004,All,MeanDem,9296585,14
2002,All,MeanDem,8082979,12
2000,All,MeanDem,5049512,11
1998,All,MeanDem,6623850,15
1996,All,MeanDem,7857411,7
1994,All,MeanDem,8231451,16
1992,All,MeanDem,4808876,15
1990,All,MeanDem,6551281,17
1988,All,MeanDem,6918267,15
1986,All,MeanDem,5859643,9
1984,All,MeanDem,3998777,12
1982,All,MeanDem,4161223,18
1980,All,MeanDem,3894827,19
1978,All,MeanDem,2244676,11
1976,All,MeanDem,2093226,17
1974,All,MeanDem,2524702,15
2014,All,MeanRep,7136166,36
2012,All,MeanRep,8727767,33
2010,All,MeanRep,9323296,38
2008,All,MeanRep,6523238,32
2006,All,MeanRep,8261610,32
2004,All,MeanRep,6496683,34
2002,All,MeanRep,5898891,32
2000,All,MeanRep,7642135,33
1998,All,MeanRep,5936817,32
1996,All,MeanRep,5581352,33
1994,All,MeanRep,7332855,35
1992,All,MeanRep,4756487,34
1990,All,MeanRep,4915226,33
1988,All,MeanRep,5336127,33
1986,All,MeanRep,6914469,34
1984,All,MeanRep,5694922,30
1982,All,MeanRep,4126942,32
1980,All,MeanRep,2991759,33
1978,All,MeanRep,4180670,33
1976,All,MeanRep,2565550,30
1974,All,MeanRep,1835992,31
2014,Incumbents,Mean,10897812,27
2012,Incumbents,Mean,11033844,22
2010,Incumbents,Mean,10335129,23
2008,Incumbents,Mean,8525276,30
2006,Incumbents,Mean,11069030,29
2004,Incumbents,Mean,8229730,26
2002,Incumbents,Mean,5968726,27
2000,Incumbents,Mean,6228681,29
1998,Incumbents,Mean,6867729,29
1996,Incumbents,Mean,6387356,20
1994,Incumbents,Mean,12256536,26
1992,Incumbents,Mean,6257489,27
1990,Incumbents,Mean,6480775,32
1988,Incumbents,Mean,7500578,27
1986,Incumbents,Mean,7289145,28
1984,Incumbents,Mean,5787229,28
1982,Incumbents,Mean,4558435,29
1980,Incumbents,Mean,3739776,25
1978,Incumbents,Mean,4872488,22
1976,Incumbents,Mean,2595398,25
1974,Incumbents,Mean,2668511,25
2014,Incumbents,MeanDem,13257285,16
2012,Incumbents,MeanDem,11621931,15
2010,Incumbents,MeanDem,13680487,12
2008,Incumbents,MeanDem,6981264,12
2006,Incumbents,MeanDem,11226213,14
2004,Incumbents,MeanDem,9296585,14
2002,Incumbents,MeanDem,8082979,12
2000,Incumbents,MeanDem,5049512,11
1998,Incumbents,MeanDem,6623850,15
1996,Incumbents,MeanDem,7857411,7
1994,Incumbents,MeanDem,8231451,16
1992,Incumbents,MeanDem,4808876,15
1990,Incumbents,MeanDem,6551281,17
1988,Incumbents,MeanDem,6918267,15
1986,Incumbents,MeanDem,5859643,9
1984,Incumbents,MeanDem,3998777,12
1982,Incumbents,MeanDem,4161223,18
1980,Incumbents,MeanDem,3894827,19
1978,Incumbents,MeanDem,2244676,11
1976,Incumbents,MeanDem,2093226,17
1974,Incumbents,MeanDem,2524702,15
2014,Incumbents,MeanRep,7751848,12
2012,Incumbents,MeanRep,10947009,6
2010,Incumbents,MeanRep,6685648,11
2008,Incumbents,MeanRep,9554618,18
2006,Incumbents,MeanRep,10285514,14
2004,Incumbents,MeanRep,6985067,12
2002,Incumbents,MeanRep,4277323,15
2000,Incumbents,MeanRep,6949286,18
1998,Incumbents,MeanRep,7129028,14
1996,Incumbents,MeanRep,5595788,13
1994,Incumbents,MeanRep,6236877,10
1992,Incumbents,MeanRep,8068254,12
1990,Incumbents,MeanRep,6400868,15
1988,Incumbents,MeanRep,8228465,12
1986,Incumbents,MeanRep,7966278,19
1984,Incumbents,MeanRep,7128566,16
1982,Incumbents,MeanRep,5208414,11
1980,Incumbents,MeanRep,3248779,6
1978,Incumbents,MeanRep,7500303,11
1976,Incumbents,MeanRep,3708487,7
1974,Incumbents,MeanRep,2884224,10
2014,Challengers,Mean,5023821,27
2012,Challengers,Mean,7450910,19
2010,Challengers,Mean,5710681,20
2008,Challengers,Mean,4169986,26
2006,Challengers,Mean,6646184,28
2004,Challengers,Mean,3039219,26
2002,Challengers,Mean,3796905,21
2000,Challengers,Mean,4335302,27
1998,Challengers,Mean,4566603,27
1996,Challengers,Mean,4692370,17
1994,Challengers,Mean,6384865,26
1992,Challengers,Mean,3079414,26
1990,Challengers,Mean,3077836,29
1988,Challengers,Mean,3636414,27
1986,Challengers,Mean,4102744,27
1984,Challengers,Mean,2828608,25
1982,Challengers,Mean,2985658,29
1980,Challengers,Mean,2420647,24
1978,Challengers,Mean,2533534,21
1976,Challengers,Mean,1881720,23
1974,Challengers,Mean,1597028,22
2014,Challengers,MeanDem,3528947,10
2012,Challengers,MeanDem,18648413,3
2010,Challengers,MeanDem,1947235,7
2008,Challengers,MeanDem,5611652,17
2006,Challengers,MeanDem,8372300,14
2004,Challengers,MeanDem,1948319,12
2002,Challengers,MeanDem,2871556,11
2000,Challengers,MeanDem,4511536,17
1998,Challengers,MeanDem,3798095,14
1996,Challengers,MeanDem,4405911,11
1994,Challengers,MeanDem,1958789,10
1992,Challengers,MeanDem,4303982,12
1990,Challengers,MeanDem,2526775,14
1988,Challengers,MeanDem,4311046,12
1986,Challengers,MeanDem,4129260,18
1984,Challengers,MeanDem,3452866,15
1982,Challengers,MeanDem,3719125,11
1980,Challengers,MeanDem,1600285,6
1978,Challengers,MeanDem,3014690,11
1976,Challengers,MeanDem,2685399,8
1974,Challengers,MeanDem,1874187,10
2014,Challengers,MeanRep,5915711,16
2012,Challengers,MeanRep,5351379,16
2010,Challengers,MeanRep,7737153,13
2008,Challengers,MeanRep,1446841,9
2006,Challengers,MeanRep,4920068,14
2004,Challengers,MeanRep,3974275,14
2002,Challengers,MeanRep,4814788,10
2000,Challengers,MeanRep,4035705,10
1998,Challengers,MeanRep,5394227,13
1996,Challengers,MeanRep,5217546,6
1994,Challengers,MeanRep,9111227,16
1992,Challengers,MeanRep,2028260,14
1990,Challengers,MeanRep,3592163,15
1988,Challengers,MeanRep,3096709,15
1986,Challengers,MeanRep,4049709,9
1984,Challengers,MeanRep,1892217,10
1982,Challengers,MeanRep,2537429,18
1980,Challengers,MeanRep,2694101,18
1978,Challengers,MeanRep,2004266,10
1976,Challengers,MeanRep,1453090,15
1974,Challengers,MeanRep,1366059,12
2014,OpenSeats,Mean,7183674,16
2012,OpenSeats,Mean,10068056,22
2010,OpenSeats,Mean,9462454,28
2008,OpenSeats,Mean,6393598,10
2006,OpenSeats,Mean,12198644,8
2004,OpenSeats,Mean,10474356,16
2002,OpenSeats,Mean,9255961,14
2000,OpenSeats,Mean,23104119,10
1998,OpenSeats,Mean,3944563,10
1996,OpenSeats,Mean,5005279,28
1994,OpenSeats,Mean,4798380,18
1992,OpenSeats,Mean,4930939,16
1990,OpenSeats,Mean,2897091,6
1988,OpenSeats,Mean,5742069,12
1986,OpenSeats,Mean,6778694,12
1984,OpenSeats,Mean,11337933,8
1982,OpenSeats,Mean,10162941,6
1980,OpenSeats,Mean,3253858,18
1978,OpenSeats,Mean,2980214,25
1976,OpenSeats,Mean,3149344,16
1974,OpenSeats,Mean,1927906,18
2014,OpenSeats,MeanDem,5713794,8
2012,OpenSeats,MeanDem,8180667,10
2010,OpenSeats,MeanDem,5385697,13
2008,OpenSeats,MeanDem,8039410,5
2006,OpenSeats,MeanDem,13015032,3
2004,OpenSeats,MeanDem,10770390,8
2002,OpenSeats,MeanDem,7589527,7
2000,OpenSeats,MeanDem,28858986,5
1998,OpenSeats,MeanDem,3879766,5
1996,OpenSeats,MeanDem,4286693,14
1994,OpenSeats,MeanDem,4207698,9
1992,OpenSeats,MeanDem,5298646,8
1990,OpenSeats,MeanDem,1691832,3
1988,OpenSeats,MeanDem,6334143,6
1986,OpenSeats,MeanDem,5676503,6
1984,OpenSeats,MeanDem,13208764,4
1982,OpenSeats,MeanDem,10627268,3
1980,OpenSeats,MeanDem,3415732,9
1978,OpenSeats,MeanDem,3006865,13
1976,OpenSeats,MeanDem,2647347,8
1974,OpenSeats,MeanDem,2557956,9
2014,OpenSeats,MeanRep,8653555,8
2012,OpenSeats,MeanRep,12428381,11
2010,OpenSeats,MeanRep,12868580,14
2008,OpenSeats,MeanRep,4747786,5
2006,OpenSeats,MeanRep,12873343,4
2004,OpenSeats,MeanRep,10178322,8
2002,OpenSeats,MeanRep,10922396,7
2000,OpenSeats,MeanRep,17349251,5
1998,OpenSeats,MeanRep,4009359,5
1996,OpenSeats,MeanRep,5723863,14
1994,OpenSeats,MeanRep,5389061,9
1992,OpenSeats,MeanRep,4563231,8
1990,OpenSeats,MeanRep,4102350,3
1988,OpenSeats,MeanRep,5149994,6
1986,OpenSeats,MeanRep,7880884,6
1984,OpenSeats,MeanRep,9467102,4
1982,OpenSeats,MeanRep,9698615,3
1980,OpenSeats,MeanRep,3091987,9
1978,OpenSeats,MeanRep,2951341,12
1976,OpenSeats,MeanRep,3651337,8
1974,OpenSeats,MeanRep,1297857,9
